Name;Kategorie;Gerätestufe;Handling_Strasse;Handling_Gelaende;Beschleunigung_Normal;Beschleunigung_Sprint;Geschwindigkeit_Normal;Geschwindigkeit_Sprint;Pilot;Rumpf;Panzerung;Sensor;Sitze;Quelle;Seite;Erläuterungen
Aerodesign Systems Condor LDSD-23;Minidrohnen;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;4.0;0.0;R5;129;Riggerinterface
Aeroquip M.E.D.-1 'Dustoff' Medizinische Evakuierungsdrohne;Große Drohnen;4.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;3.0;0.0;BB;23;Dustoff Gepanzertes Valkyrie-Modul
Airbus A140;Rotormaschinen;4.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;18.0;12.0;4.0;8.0;SAG;56;Diebstahlsicherung
Airbus ALS-699 Lift-Ticket;Rotormaschinen;3.0;5.0;5.0;3.0;3.0;3.0;3.0;3.0;16.0;12.0;4.0;5.0;R5;102;Seilwinde (Einfach)
Airstream Traveler Chinook;LKWs;2.0;3.0;2.0;1.0;1.0;4.0;3.0;2.0;14.0;12.0;2.0;10.0;R5;59;Innenausstattung (minimal)
Airstream Traveler Outback;LKWs;2.0;3.0;4.0;1.0;1.0;3.0;4.0;2.0;14.0;12.0;4.0;8.0;R5;59;Innenausstattung (minimal)
Airstream Traveler Preserve;LKWs;2.0;3.0;3.0;1.0;1.0;4.0;4.0;2.0;16.0;12.0;3.0;10.0;R5;59;Innenausstattung (minimal)
American Airboat AirRanger;Schiffe;1.0;4.0;4.0;3.0;3.0;4.0;4.0;1.0;10.0;6.0;1.0;6.0;R5;92;
American Airboat AirRanger Heavy;Schiffe;1.0;4.0;4.0;3.0;3.0;4.0;4.0;1.0;12.0;6.0;1.0;5.0;R5;92;
Ares Arms Sentry V;Kleine Drohnen;3.0;4.0;0.0;1.0;1.0;1.0;1.0;3.0;2.0;6.0;2.0;0.0;R5;130;Riggerinterface
Ares Cheetah;Mittlere Drohnen;3.0;4.0;4.0;2.0;2.0;6.0;6.0;3.0;2.0;6.0;2.0;0.0;R5;139;Riggerinterface
Ares Chuck Wagon;Autos;2.0;2.0;2.0;1.0;1.0;3.0;3.0;2.0;16.0;5.0;2.0;2.0;R5;59;
Ares Citymaster;LKWs;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;18.0;18.0;3.0;8.0;2050;210;
Ares Dragon;Rotormaschinen;3.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;22.0;8.0;3.0;18.0;SR5;464;
Ares Dragon;Rotormaschinen;3.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;22.0;8.0;3.0;18.0;2050;210;
Ares Duelist;Anthropomorphe Drohnen;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;4.0;4.0;3.0;0.0;SR5;466;Drohnenarm
Ares Garuda;Raketendrohnen;4.0;6.0;6.0;2.0;4.0;3.0;6.0;4.0;2.0;2.0;3.0;0.0;R5;149;Riggerinterface
Ares KN-Y1 (Phobos);Riesige Drohnen;5.0;3.0;3.0;1.0;1.0;2.0;2.0;5.0;6.0;18.0;3.0;0.0;R5;144;Riggerinterface
Ares KN-Y2 (Deimos);Riesige Drohnen;5.0;3.0;3.0;1.0;1.0;2.0;2.0;5.0;6.0;18.0;3.0;0.0;R5;144;Riggerinterface
Ares KN-Y4 (Eris);Riesige Drohnen;5.0;3.0;3.0;1.0;1.0;2.0;2.0;5.0;6.0;18.0;3.0;0.0;R5;144;Riggerinterface
Ares Matilda;Große Drohnen;2.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;8.0;8.0;4.0;0.0;R5;141;Riggerinterface
Ares Mule;Große Drohnen;2.0;4.0;4.0;1.0;1.0;1.0;1.0;2.0;4.0;6.0;2.0;0.0;R5;142;Drohnenarm
Ares Paladin;Große Drohnen;3.0;5.0;5.0;1.0;1.0;4.0;4.0;3.0;5.0;18.0;2.0;0.0;R5;142;Kettenantrieb
Ares Roadmaster;LKWs;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;18.0;18.0;3.0;8.0;SR5;464;
Ares Venture;Senkrechtstarter;4.0;5.0;5.0;4.0;4.0;7.0;7.0;4.0;16.0;14.0;4.0;6.0;SR5;465;
Ares-Segway Terrier;Motorräder;2.0;5.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;R5;42;Gyrostabilisator
Artemis Industries Nightwing;Starrflügler;1.0;6.0;6.0;1.0;1.0;3.0;3.0;1.0;4.0;0.0;1.0;1.0;SR5;464;Signaturmaskierung
Avibras-Nissan AN 822;Rotormaschinen;3.0;5.0;5.0;0.0;0.0;6.0;6.0;3.0;14.0;10.0;3.0;5.0;SFME;31;Riggerinterface
Aztech Criado Juan;Anthropomorphe Drohnen;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;0.0;2.0;0.0;R5;146;Drohnenarm
Aztech Nightrunner;Schiffe;3.0;5.0;5.0;3.0;3.0;6.0;6.0;3.0;12.0;6.0;4.0;6.0;R5;81;Innenausstattung (minimal)
Aztech Nightrunner;Schiffe;2.0;4.0;4.0;2.0;2.0;3.0;3.0;2.0;12.0;6.0;2.0;2.0;2050;208;
Aztechnology Agular GX-2;Rotormaschinen;4.0;5.0;5.0;5.0;5.0;7.0;7.0;4.0;20.0;16.0;5.0;2.0;R5;97;Riggerinterface
Aztechnology Agular GX-3AT;Rotormaschinen;4.0;4.0;4.0;4.0;4.0;6.0;6.0;4.0;22.0;20.0;4.0;10.0;R5;97;Riggerinterface
