Name;Kategorie;Gerätestufe;Datenverarbeitung;Firewall;Quelle;Seite
Common Denominator Element;Kommlinks;2.0;2.0;2.0;DT;17
Cyberdynamix Special HardCore;Kommlinks;2.0;1.0;2.0;SAG;86
Erika Elite;Kommlinks;4.0;4.0;4.0;SR5;438
EvoTech Himitsu;Kommlinks;2.0;1.0;2.0;DT;61
Fairlight Caliban;Kommlinks;7.0;7.0;7.0;SR5;438
FTL Quark;Kommlinks;4.0;4.0;4.0;DT;17
Fuchi Cyber-X7;Kommlinks;7.0;7.0;7.0;DT;17
Hermes Ikon;Kommlinks;5.0;5.0;5.0;SR5;438
Horizon Flow;Kommlinks;5.0;5.0;5.0;KC;68
Leviathan Technical LT-2100;Kommlinks;2.0;2.0;2.0;DT;17
Maersk Shipyards Wavecutter MPAC (Commlink);Kommlinks;7.0;7.0;7.0;SL;132
Matrix Systems GridGopher;Kommlinks;3.0;3.0;3.0;DT;17
MCT Blue Defender;Kommlinks;3.0;1.0;5.0;DT;61
MCT Dusseldorf;Kommlinks;3.0;2.0;3.0;SAG;86
MCT-3500;Kommlinks;3.0;3.0;3.0;DT;17
MCT-5000;Kommlinks;5.0;5.0;5.0;LCD;207
Meta Link;Kommlinks;1.0;1.0;1.0;SR5;438
Microtrónica Azteca Raptor;Kommlinks;2.0;2.0;2.0;DT;17
Novatech NetNinja;Kommlinks;5.0;5.0;5.0;DT;17
Ogre Hammer SWS Sturmkanone (Kommlink);Kommlinks;4.0;4.0;4.0;RG;46
PULSE Wave;Kommlinks;6.0;6.0;6.0;DT;17
Renraku Aguchi;Kommlinks;1.0;1.0;1.0;DT;17
Renraku Sensei;Kommlinks;3.0;3.0;3.0;SR5;438
Saeder-Krupp Last Chance;Kommlinks;3.0;3.0;3.0;KC;68
Shiawase Jishi;Kommlinks;3.0;3.0;3.0;CF;93
Siemens Rheingold;Kommlinks;4.0;5.0;4.0;SAG;86
Siemens-Nixdorf Sekretär;Kommlinks;4.0;6.0;2.0;DT;61
Siemens-Nixdorf Sekretär mit Liebessekretär;Kommlinks;4.0;6.0;2.0;DT;61
Sony Angel;Kommlinks;1.0;1.0;1.0;DT;17
Sony Emperor;Kommlinks;2.0;2.0;2.0;SR5;438
Sony Ronin;Kommlinks;4.0;4.0;4.0;LCD;207
Spinrad Industries Trompe L'Oeil;Kommlinks;6.0;6.0;6.0;BOTL;126
Terracotta Arms AM-47 (Kommlink);Kommlinks;5.0;5.0;5.0;RG;38
Transys Arthur;Kommlinks;1.0;1.0;1.0;DT;17
Transys Avalon;Kommlinks;6.0;6.0;6.0;SR5;438
Wuxing Frequency;Kommlinks;4.0;4.0;4.0;KC;68
Xiao Technologies XT-2G;Kommlinks;2.0;2.0;2.0;DT;17
