Name;Kategorie;Gerätestufe;Datenverarbeitung;Firewall;Programme;Quelle;Seite
Aus Schrott gebastelt;Riggerkonsole;1.0;3.0;2.0;1.0;SR5;266
CompuForce TaskMaster;Riggerkonsole;4.0;5.0;4.0;4.0;SR5;266
Essy Motors DroneMaster;Riggerkonsole;3.0;4.0;4.0;3.0;SR5;266
Lone Star Remote Commander;Riggerkonsole;6.0;6.0;5.0;6.0;SR5;266
Maersk Spider;Riggerkonsole;4.0;4.0;5.0;4.0;SR5;266
Maser Industrial Electronics;Riggerkonsole;5.0;3.0;4.0;5.0;SR5;266
MCT Drone Web;Riggerkonsole;6.0;7.0;6.0;6.0;SR5;266
Proteus Poseidon;Riggerkonsole;5.0;5.0;6.0;5.0;SR5;266
Radio Shack Remote Controller;Riggerkonsole;2.0;3.0;3.0;2.0;SR5;266
Shiawase Cyber-6;Riggerkonsole;5.0;5.0;5.0;5.0;KC;68
Spinrad Global Skirmisher;Riggerkonsole;4.0;5.0;5.0;4.0;KC;68
Triox UberMensch;Riggerkonsole;6.0;8.0;7.0;6.0;SR5;266
Vulcan Liegelord;Riggerkonsole;5.0;5.0;6.0;5.0;SR5;266
