Name;Typ;Präzision;Schaden;DK;Reichw./Modus;RK;Munition;Fundstelle;Zubehör
AK-97;Sturmgewehre;5;10K;-2;HM/SM/AM;-;38(s);Regelwerk;
AK-98;Sturmgewehre;5;10K;-2;HM/SM/AM;-;38(s);Kreuzfeuer;
AK-98 - Granatwerfer;Sturmgewehre;3;Granate;Granate;EM;-;6(m);-;
Altmayr Blackmoon;Schwere Pistolen;6;8K;-1;HM;1;6(tr);SotA ADL;elektr. Feuern, Montageschiene (oben)
Altmayr SPX;Schrotflinten;4;10K;-1;EM;-;8(m);Schattenhb. 1;Tarnmod.+4, RW: schwere Pistole
Altmayr SPX 2;Schrotflinten;4;10K;-1;EM/HM;-;8(m);SotA ADL;Tarnmod.+2, RW: schwere Pistole
Aquadyne Shark-XS Harpun.;Projektilwaffen (Armbrüste, Harpunengewehre);5;9K;-2;EM;;5(m);Kreuzfeuer;RW: l. Armbrust unter Wasser, s.Pistole über Wasser
Arctic Warfare Mod. 64;Scharfschützengewehre;7;14K;-6;EM;-2;5(s);Gruppe;Zweibein, Zielfernroht, zerlegbar
Ares Alpha;Sturmgewehre;5(7);11K;-2;HM/SM/AM;2;42(s);Regelwerk;int. Rückstoßkomp.-2, SM
Ares Alpha - Granatwerfer;Sturmgewehre;4(6);Granate;Granate;EM;-;6(s);-;
Ares Antioch-2;Granat-/Torpedowerfer;4 (6);Granate;Granate;EM;-;8(m);Regelwerk;SM
Ares Archon schwerer Laser;Laserwaffen (Exot. Fernkampf, KF S.47);7;10K;-10;HM;-;externe Quelle;Kreuzfeuer;1 Schuß = 4 Energieeinheiten, RW: Scharfschützeng.
Ares Armatus;Laserwaffen (Exot. Fernkampf, KF S.47);6;6K;-5;HM;-;10(s) o. Ext.;Harte Ziele;1 Schuß = 1 Energieeinheit, RW und Streuung wie Schrotflinten
Ares Crusader II;Automatikpistolen;5 (7);7K;-;HM/SM;2;40(s);Regelwerk;Gasventil-2, SM
Ares Desert Strike;Scharfschützengewehre;7;13K;-4;HM;1;14(s);Regelwerk;Schockploster,, Zielfernrohr (Vergr.)
Ares Executer;Maschinenpistole;4;7K;-;HM/SM/AM;-1;30(s);Kreuzfeuer;auskl. Schulterstütze, int. Schalldämpfer
Ares Giantslayer Zwille;Projektilwaffen (Bögen, Zwillen);7;2K;-;EM;;;Kreuzfeuer;Fertigkeit: Projektilwaffen, RW: Shuriken, Regeln: S. 23
Ares HVAR;Sturmgewehre;5 (7);8K;-;HM/SM/AM;3 (4);50(s);Kreuzfeuer;Schockpolster, int. Rückstoßk..-3, SM,  Regeln: S. 37
Ares Lancer MP-Laser;Laserwaffen (Exot. Fernkamof, KF S.47);7;7K;-10;HM;-;2 x 10(s) o. Ext.;Kreuzfeuer;1 Schuß = 2 Energieeinheiten, RW: Sturmgewehre
Ares Light Fire 70;Leichte Pistolen;7;6K;-;HM;-;16(s);Regelwerk;Schalldämpfer (Würfelmod. -5), kostet 750,-
Ares Light Fire 75;Leichte Pistolen;6 (8);6K;-;HM;-;16(s);Regelwerk;int. Schalldämpfer (Würfelmod.-5), SM
Ares Predator V;Schwere Pistolen;5 (7);8K;-1;HM;-;15(s);Regelwerk;SM
Ares Redline Laserpistole;Laserwaffen (Exot. Fernkamof, KF S.47);9;5K;-10;HM;-;10(s) o. Ext.;Kreuzfeuer;1 Schuß = 1 Energieeinheit, RW: MP
Ares Sigma;Maschinenpistole;4 (6);8K;-;HM/SM/AM;-2;50(t);Schattenhb. 1;ausz. Schulterstütze, Vordergriff, SM, 2 Montagesch.
Ares Stalwart;Sturmgewehre (Karabiner, RW MP, Tarn +4);5;9K;-2;HM/SM/AM;-1;36(s);tödl. Schatten;auskl. Schulterstütze
Ares Striker;Schwere Pistolen;5;8K;-1;HM;-;12(s);tödl. Schatten;ohne WiFi-Fähigkeit
Ares Thunderstruck Gaussg.;Sturmkanonen;7 (8);15K;-8;HM;1;10(s) + Energie;Kreuzfeuer;Schockpolster, LM,  Regeln: S. 45
Ares Vigorous;Sturmkanonen;4;16K;-6;EM;-;12(s);Kreuzfeuer;
Ares Viper Slivergun;Schwere Pistolen;4;9K(f);4;HM/SM;-;30(s);Regelwerk;int. Schalldämpfer
ArmTech MGL-12;Granat-/Torpedowerfer;4;Granate;Granate;HM;-;12(s);Regelwerk;
Auto Assault 16;Schrotflinten;4;13K;-1;HM/SM/AM;2;10(s) o. 32(t);Kreuzfeuer;int. Rückstoßkomp.-2
Aztechnology Striker;Raketenwerfer;5;Rakete;Rakete;EM;-;1(v);Regelwerk;
Barrens Special;Schwere Pistolen;4;8K;-1;EM;-;5(tr);tödl. Schatten;Unterlaufbajonett
Barret Modell 122;Scharfschützengewehre;7 (9);14K;-6;HM;-2;14(s);Kreuzfeuer;Zweibein, SM, Schalldämpfer
Beretta 201T;Leichte Pistolen;6;6K;-;HM/SM;-1;21(s);Regelwerk;abn. Schulterstütze
Beretta Mod. 59;Scharfschützengewehre;5 (6);10K;-2;HM;-1;10(s);Gruppe;hologr.Visier, auskl. Schulterstütze, verkürzter Lauf, Schalldämpfer
Beretta Northstar;Schrotflinten;4 (6);11K;-1;HM;-;2 x 6(m);tödl. Schatten;SM, zusätzl. Internes Magazin
Bogen;Projektilwaffen (Bögen, Zwillen);6;(Stufe+2)K;-(St.:4);;;;Regelwerk;
